Time In,Time Out,Tag Category,Tag Description,Status
00:22:52.089,00:23:21.849,Profanity,"['चूतिया', 'भेनचोद']",-
00:23:22.050,00:23:40.060,Profanity,['चूतिया'],-
00:23:40,00:23:45,Smoking scenes,Smoking scenes,-
00:23:40,00:23:43,Drug scene,Drug scene,-
00:23:53,00:23:57,Smoking scenes,Smoking scenes,-
00:24:04,00:24:07,Smoking scenes,Smoking scenes,-
00:24:04,00:24:04,Drug scene,Drug scene,-
00:24:07,00:24:07,Drug scene,Drug scene,-
00:24:09,00:24:12,Smoking scenes,Smoking scenes,-
00:24:10,00:24:10,Drug scene,Drug scene,-
00:24:17,00:24:19,Smoking scenes,Smoking scenes,-
00:24:28,00:24:28,Drug scene,Drug scene,-
00:24:28,00:24:31,Smoking scenes,Smoking scenes,-
00:24:30,00:24:31,Drug scene,Drug scene,-
00:24:58.260,00:25:26.569,Profanity,['गांडू'],-
00:25:39,00:25:39,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:26:49,00:26:49,Drug scene,Drug scene,-
00:26:58,00:26:58,Drug scene,Drug scene,-
00:27:26,00:27:27,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:27:27,00:27:31,Drug scene,Drug scene,-
00:27:27,00:27:27,Smoking scenes,Smoking scenes,-
00:27:31,00:27:32,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:27:49,00:27:50,Drug scene,Drug scene,-
00:27:56,00:27:58,Drug scene,Drug scene,-
00:27:58,00:27:58,Smoking scenes,Smoking scenes,-
00:28:20,00:28:28,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:20,00:28:20,Smoking scenes,Smoking scenes,-
00:28:26,00:28:27,Drug scene,Drug scene,-
00:28:32,00:28:32,Smoking scenes,Smoking scenes,-
00:28:32,00:28:33,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:40,00:28:42,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:40,00:28:40,Drug scene,Drug scene,-
00:28:50,00:28:51,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:28:58,00:28:59,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:04,00:29:05,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:07,00:29:07,Drug scene,Drug scene,-
00:29:07,00:29:16,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:14,00:29:16,Drug scene,Drug scene,-
00:29:14,00:29:16,Smoking scenes,Smoking scenes,-
00:29:35,00:29:37,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:35.579,00:30:05.030,Profanity,"['fucking', 'toast']",-
00:29:41,00:29:42,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:50,00:29:56,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:54,00:29:54,Smoking scenes,Smoking scenes,-
00:29:54,00:29:54,Drug scene,Drug scene,-
00:29:56,00:29:56,Old Lady Drinking,Old Lady Drinking,-
00:29:58,00:30:04,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:29:59,00:29:59,Smoking scenes,Smoking scenes,-
00:30:01,00:30:03,Drug scene,Drug scene,-
00:30:06,00:30:07,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:30:09,00:30:12,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:30:11,00:30:11,Old Lady Drinking,Old Lady Drinking,-
00:30:14,00:30:23,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:30:15,00:30:21,Old Lady Drinking,Old Lady Drinking,-
00:30:15,00:30:15,Smoking scenes,Smoking scenes,-
00:31:12.119,00:31:40.699,Profanity,['fuck'],-
00:31:32,00:31:32,Smoking scenes,Smoking scenes,-
00:31:41.189,00:32:08.540,Profanity,"['fuck', 'shit']",-
00:31:58,00:31:58,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:31:58,00:31:58,Smoking scenes,Smoking scenes,-
00:32:10.560,00:32:39.880,Profanity,"['fucking', 'माथुर']",-
00:32:40.430,00:33:04.290,Profanity,"['asshole', 'fucking', 'called']",-
00:32:42,00:32:42,Smoking scenes,Smoking scenes,-
00:33:10.979,00:33:38.619,Profanity,"['fuck', 'fuck']",-
00:33:11,00:33:14,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:33:16,00:33:16,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:33:19,00:33:21,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:33:27,00:33:29,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:33:31,00:33:31,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:33:34,00:33:34,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:33:38,00:33:39,Drug scene,Drug scene,-
00:33:39,00:33:39,Smoking scenes,Smoking scenes,-
00:33:41.920,00:34:09.478,Profanity,"['चू', 'fucking']",-
00:33:45,00:33:46,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:33:50,00:33:55,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:33:52,00:33:52,Smoking scenes,Smoking scenes,-
00:33:55,00:33:55,Drug scene,Drug scene,-
00:34:02,00:34:02,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:34:04,00:34:11,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:34:14,00:34:19,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:34:17,00:34:19,Smoking scenes,Smoking scenes,-
00:34:19,00:34:19,Old Lady Drinking,Old Lady Drinking,-
00:34:19,00:34:19,Drug scene,Drug scene,-
00:34:22,00:34:25,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:34:23,00:34:25,Smoking scenes,Smoking scenes,-
00:34:24,00:34:25,Drug scene,Drug scene,-
00:34:32,00:34:33,Drug scene,Drug scene,-
00:34:33,00:34:33,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:34:33,00:34:33,Smoking scenes,Smoking scenes,-
00:34:38,00:34:38,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:34:40,00:34:40,Drug scene,Drug scene,-
00:34:41,00:34:41,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:34:48,00:34:48,Drug scene,Drug scene,-
00:34:54,00:34:54,Smoking scenes,Smoking scenes,-
00:35:02,00:35:02,Alcohol Drinking Scene,Alcohol Drinking Scene,-
00:35:03,00:35:05,Drug scene,Drug scene,-
00:35:45,00:35:45,Drug scene,Drug scene,-
00:36:04,00:36:04,Drug scene,Drug scene,-
00:36:15,00:36:15,Drug scene,Drug scene,-
00:36:17,00:36:18,Drug scene,Drug scene,-
00:36:56,00:36:56,Drug scene,Drug scene,-
00:36:57,00:36:57,Alcohol Drinking Scene,Alcohol Drinking Scene,-
